participant_id,group,course_id,step_number,step_started_at,step_completed_at,time_on_task_seconds,attempts_code_runs,python_errors,progress_errors,help_requests,avg_hint_level,solved
P022,A,bmi-calculator,6,2025-12-26T09:07:33.364Z,2025-12-26T09:09:40.933Z,128,4,1,0,0,0,1
P022,A,bmi-calculator,7,2025-12-26T09:11:11.244Z,2025-12-26T09:11:39.047Z,28,1,0,0,0,0,1
P022,A,bmi-calculator,8,2025-12-26T09:12:18.485Z,2025-12-26T09:14:52.837Z,154,6,3,0,0,0,1
P022,A,bmi-calculator,9,2025-12-26T09:15:56.342Z,2025-12-26T09:18:45.604Z,169,4,0,0,0,0,1
P022,A,bmi-calculator,10,2025-12-26T09:19:17.517Z,2025-12-26T09:21:36.874Z,139,2,1,0,0,0,1
P022,A,bmi-calculator,11,2025-12-26T09:22:10.682Z,2025-12-26T09:23:27.744Z,77,2,0,0,0,0,1
P022,A,bmi-calculator,12,2025-12-26T09:24:37.645Z,2025-12-26T09:25:09.749Z,32,2,0,0,0,0,1
P023,B,bmi-calculator,1,2026-01-16T13:28:48.539Z,2025-12-27T21:10:19.967Z,198,3,2,0,0,0,1
P023,B,bmi-calculator,2,2026-01-16T13:28:54.397Z,2025-12-27T21:12:14.856Z,57,1,0,0,0,0,1
P023,B,bmi-calculator,3,2026-01-16T13:28:56.617Z,2025-12-27T21:14:48.909Z,93,1,0,0,0,0,1
P023,B,bmi-calculator,4,2026-01-16T13:29:01.633Z,2025-12-27T21:16:39.465Z,43,1,0,0,3,2,1
P023,B,bmi-calculator,5,2026-01-16T13:29:26.306Z,2025-12-27T21:34:02.910Z,220,1,0,0,0,0,1
P023,B,bmi-calculator,6,2025-12-27T21:36:55.343Z,2025-12-27T21:45:08.540Z,494,5,4,0,1,1,1
P023,B,bmi-calculator,7,2025-12-27T21:46:39.831Z,2025-12-27T21:49:41.156Z,182,1,0,0,0,0,1
P023,B,bmi-calculator,8,2025-12-27T21:51:59.774Z,2025-12-27T21:55:55.957Z,236,3,2,0,0,0,1
P023,B,bmi-calculator,9,2025-12-27T21:57:31.508Z,2025-12-27T22:00:46.623Z,195,2,0,0,1,1,1
